-1 1:10.0 2:0.635 3:5.873 4:6.508 5:3.333 6:8.413 7:1.587 8:2.857 9:4.603 10:14.921 11:1.746 12:3.016 13:5.079 14:5.079 15:3.81 16:9.841 17:4.127 18:5.079 19:2.063 20:1.429
-1 1:7.708 2:2.083 3:3.333 4:2.292 5:6.458 6:8.125 7:1.25 8:7.083 9:3.958 10:8.333 11:2.708 12:3.958 13:3.958 14:3.958 15:2.708 16:7.708 17:6.667 18:11.667 19:2.292 20:3.75
-1 1:9.953 2:1.738 3:3.949 4:4.581 5:6.319 6:8.847 7:2.054 8:8.215 9:4.265 10:9.479 11:2.37 12:3.476 13:3.318 14:3.633 15:3.791 16:7.425 17:4.739 18:6.003 19:1.896 20:3.949
-1 1:7.143 2:2.326 3:5.15 4:2.658 5:5.648 6:7.309 7:1.329 8:8.472 9:3.987 10:11.96 11:2.159 12:4.817 13:4.817 14:1.661 15:4.651 16:8.97 17:7.143 18:6.977 19:0.831 20:1.993
-1 1:8.008 2:2.053 3:1.232 4:4.723 5:6.366 6:6.982 7:0.411 8:10.472 9:3.491 10:10.883 11:2.259 12:3.285 13:6.16 14:2.053 15:3.08 16:6.982 17:6.16 18:9.035 19:1.643 20:4.723
-1 1:7.401 2:1.48 3:4.112 4:3.783 5:7.566 6:7.566 7:0.822 8:8.059 9:6.414 10:9.375 11:2.632 12:4.112 13:3.783 14:1.316 15:3.618 16:8.059 17:4.77 18:7.73 19:1.316 20:6.086
-1 1:11.156 2:1.623 3:2.028 4:3.043 5:5.68 6:9.128 7:1.42 8:7.505 9:2.84 10:13.387 11:3.854 12:3.651 13:2.434 14:2.84 15:3.651 16:6.288 17:4.26 18:7.708 19:2.434 20:5.071
-1 1:7.206 2:2.812 3:2.988 4:4.042 5:6.151 6:8.084 7:1.23 8:5.097 9:4.394 10:15.466 11:3.515 12:3.339 13:4.218 14:4.394 15:3.339 16:7.381 17:5.097 18:6.854 19:1.757 20:2.636
-1 1:8.362 2:1.045 3:2.962 4:3.833 5:7.317 6:9.408 7:0.871 8:9.582 9:4.704 10:8.711 11:1.742 12:5.401 13:3.31 14:3.484 15:2.265 16:6.969 17:4.704 18:8.362 19:2.265 20:4.704
-1 1:9.635 2:2.99 3:2.99 4:3.322 5:6.312 6:9.635 7:0.332 8:4.651 9:6.312 10:10.631 11:3.654 12:2.99 13:3.987 14:4.319 15:3.987 16:7.641 17:5.316 18:6.312 19:0.664 20:4.319
-1 1:9.402 2:2.222 3:3.761 4:4.615 5:6.667 6:8.376 7:0.684 8:7.35 9:3.761 10:9.915 11:2.222 12:3.419 13:4.103 14:3.761 15:3.59 16:8.205 17:5.47 18:5.983 19:2.222 20:4.274
-1 1:4.742 2:2.062 3:3.505 4:3.918 5:6.804 6:6.186 7:1.443 8:8.247 9:5.155 10:13.608 11:3.711 12:4.33 13:2.68 14:2.474 15:2.062 16:9.278 17:7.216 18:8.454 19:0.619 20:3.505
